comparison,mean_difference,ci95_low,ci95_high,difference_p05,difference_p50,difference_p95,ppo_win_rate,tie_rate,ppo_loss_rate
ppo_minus_market_twap,1.3715000000000002,1.2804686182444671,1.4625313817555332,0.29749999999999965,1.4,2.3549999999999986,0.975,0.0,0.025
ppo_minus_sl,2.8114999999999997,2.6550378391402427,2.9679621608597566,1.0499999999999996,2.7,4.552499999999999,0.99,0.0,0.01
ppo_minus_linear_sl,1.56975,1.4099034046351042,1.7295965953648957,-0.15249999999999986,1.4500000000000004,3.554999999999998,0.935,0.0,0.065
ppo_minus_immediate_market,1.7347500000000002,1.403847729225807,2.0656522707741938,-1.2025000000000001,0.175,4.9025,0.55,0.085,0.365
